_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-07-01T00:13:00,17.88,-0.03,58.37,994.80,0.0000,9.43,251,9.60,17.88,13.48
2,2017-07-01T00:23:00,17.76,-0.04,59.40,994.86,0.0000,9.24,251,9.76,17.76,13.85
3,2017-07-01T00:33:00,17.64,-0.05,60.24,994.80,0.0000,8.20,241,9.85,17.64,14.27
4,2017-07-01T00:43:00,17.71,0.06,60.70,994.87,0.0000,5.90,238,10.03,17.71,9.60
5,2017-07-01T00:53:00,17.52,0.02,61.49,994.91,0.0000,8.76,226,10.04,17.52,13.37
6,2017-07-01T01:03:00,17.55,-0.08,61.94,994.91,0.0000,8.87,232,10.18,17.55,14.12
7,2017-07-01T01:13:00,17.38,0.02,62.45,994.97,0.0000,5.34,215,10.14,17.38,8.43
8,2017-07-01T01:23:00,17.38,0.00,63.22,994.98,0.0000,5.52,202,10.32,17.38,8.21
9,2017-07-01T01:33:00,17.33,-0.04,64.33,995.04,0.0000,6.01,218,10.53,17.33,9.80
10,2017-07-01T01:43:00,17.15,-0.01,65.38,995.04,0.0000,7.04,223,10.61,17.15,10.49
11,2017-07-01T01:53:00,17.07,-0.08,66.24,995.02,0.0000,5.19,241,10.73,17.07,7.99
12,2017-07-01T02:03:00,17.05,-0.01,67.06,995.15,0.0000,9.00,232,10.90,17.05,12.19
13,2017-07-01T02:13:00,16.90,-0.08,67.98,995.13,0.0000,7.91,205,10.96,16.90,12.95
14,2017-07-01T02:23:00,16.83,-0.04,68.39,995.25,0.0000,8.80,226,10.98,16.83,12.24
15,2017-07-01T02:33:00,16.93,-0.05,68.45,995.17,0.0000,7.17,213,11.09,16.93,11.48
16,2017-07-01T02:43:00,16.92,-0.04,68.61,995.29,0.0000,9.12,215,11.11,16.92,13.34
17,2017-07-01T02:53:00,16.96,-0.04,68.18,995.27,0.0000,9.18,229,11.06,16.96,14.65
18,2017-07-01T03:03:00,16.96,-0.04,68.10,995.42,0.0000,12.31,229,11.04,16.96,15.59
19,2017-07-01T03:13:00,16.92,-0.04,68.39,995.51,0.0000,10.92,234,11.06,16.92,14.37
20,2017-07-01T03:23:00,16.88,-0.04,69.02,995.51,0.0000,9.51,231,11.16,16.88,15.56
21,2017-07-01T03:33:00,16.79,-0.06,69.59,995.51,0.0000,9.68,230,11.21,16.79,13.18
22,2017-07-01T03:43:00,16.73,-0.06,70.09,995.47,0.0000,10.10,230,11.25,16.73,16.24
23,2017-07-01T03:53:00,16.54,-0.08,70.54,995.56,0.0000,16.06,226,11.17,16.54,21.59
24,2017-07-01T04:03:00,16.51,-0.06,70.37,995.58,0.0000,12.13,230,11.10,16.51,17.83
25,2017-07-01T04:13:00,16.43,-0.12,70.26,995.62,0.0000,11.96,239,11.00,16.43,17.50
26,2017-07-01T04:23:00,16.32,-0.08,70.45,995.73,0.0000,12.62,233,10.94,16.32,15.32
27,2017-07-01T04:33:00,16.16,-0.09,71.04,995.75,0.0000,13.60,234,10.91,16.16,22.40
28,2017-07-01T04:43:00,16.13,-0.06,71.55,995.83,0.0000,13.19,226,10.99,16.13,20.96
